1ID,Abbr,Full,Source
2,AA,Archäologischer Anzeiger,L’Erma
3,AAAd,Antichità altoadriatiche,L’Erma
4,ABSA,The annual of the British school at Athens,L’Erma
5,ACME,Acme. Annali della facoltà di lettere e filosofia dell'università degli studi di Milano,L’Erma
6,ACS,Archivio centrale dello stato (salvo diversa indicazione si fa riferimento ai fondi del Ministero della Pubblica Istruzione, Direzione Generale Antichità e Belle Arti),L’Erma
7,AE,L'Année épigraphique,L’Erma
8,AIONArchStAnt,Annali dell'istituto universitario orientale di Napoli. Dipartimento di studi del mondo classico e del Mediterraneo antico. Sezione di archeologia e storia antica,L’Erma
9,AJA,American Journal of Archaeology,L’Erma
10,AM,Mitteilungen des Deutschen Archäologischen Instituts. Athenische Abteilung,L’Erma
11,AMDSPMarche,Atti e memorie della deputazione di storia patria per le Marche,L’Erma
12,AMST,Atti e memorie della societd tiburtina di storia e d'arte,L’Erma
13,AnnalesESC,Annales. economies, sociétés, civilisations,L’Erma
14,Annlnst,Annali pubblicati dall'instituto di corrispondenza archeologica,L’Erma
15,AnninstltNum,Annali. Istituto italiano di numismatica,L’Erma
16,ANRW,Aufstieg und Niedergang der romischen Welt,L’Erma
17,AnScAt,Annuario della scuola archeologica di Atene e delle missioni italiane in Oriente,L’Erma
18,AntCl,L'Antiquité classique,L’Erma
19,AntK,Antike Kunst,L’Erma
20,AqN,Aquileia nostra,L’Erma
21,Arch Cl,Archeologia classica,L’Erma
22,ASNP,Annali della scuola normale superiore di Pisa. Classe di lettere e filosofia,L’Erma
23,ASR,Archivio di stato di Roma,L’Erma
24,ASRP,Archivio della società romana di storia patria,L’Erma
25,ATTA,Atlante tematico di topografia antica,L’Erma
26,Atti Taranto,Atti del convegno di studi sulla Magna Grecia,L’Erma
27,AttiMemProvM,Atti e memorie della deputazione di storia patria per le antiche province modenesi,L’Erma
28,AttiMemProvR,Atti e memorie. Deputazione di storia patria per le province di Romagna,L’Erma
29,AttiMGrecia,Atti e memorie della società Magna Grecia,L’Erma
30,BA,Bollettino d'arte,L’Erma
31,BaBesch,Bulletin antieke beschaving. Annual papers on classical archaeology,L’Erma
32,BAR,British archaeological reports,L’Erma
33,BC,Bullettino della commissione archeologica comunale di Roma,L’Erma
34,BCH,Bulletin de correspondance hellénique,L’Erma
35,BdA,Bollettino di archeologia,L’Erma
36,BDSPUmbria,Bollettino della regia deputazione di storia patria per l'Umbria,L’Erma
37,BEFAR,Bibliotheque des écoles francaises d'Athènes et de Rome,L’Erma
38,BIASA,Biblioteca dell'istituto nazionale di archeologia e storia dell'arte (Roma),L’Erma
39,BollSocGeogr,Bollettino della società geografica italiana,L’Erma
40,BonnJ,Bonner Jahrbücher,L’Erma
41,BPI,Bullettino di paletnologia italiana,L’Erma
42,BSBS,Bollettino storico-bibliografico subalpino,L’Erma
43,BSC,Bollettino storico cremonese,L’Erma
44,BSM,Bollettino dell'associazione internazionale degli studi mediterranei,L’Erma
45,BTCGI,Bibliografia topografica della colonizzazione greca in Italia e nelle isole tirreniche,L’Erma
46,BullInst,Bullettino dell'instituto di corrispondenza archeologica,L’Erma
47,BV,Biblioteca apostolica vaticana (Roma),L’Erma
48,CARB,Corsi di cultura sull'arte ravennate e bizantina,L’Erma
49,CIE,Corpus inscriptionum etruscarum,L’Erma
50,CIL,Corpus inscriptionum latinarum,L’Erma
51,CivP,Civiltà padana. Archeologia e storia del territorio,L’Erma
52,Cod.Vat.Lat.,Codice vaticano latino (biblioteca apostolica vaticana),L’Erma
53,CollEFR,Collection de l'ecole francaise de Rome,L’Erma
54,CRAI,Comptes rendus des seances de l'académie des inscriptions et belles-lettres,L’Erma
55,CVA,Corpus vasorum antiquorum,L’Erma
56,DdA,Dialoghi di archeologia,L’Erma
57,DE,E. De Ruggiero, Dizionario epigrafico di antichità romane, i-, Roma 1895-,L’Erma
58,DissPontAcc,Dissertazioni della pontificia accademia romana di archeologia,L’Erma
59,EAA,Enciclopedia dell'arte antica, classica e orientale,L’Erma
